"Ключ формулы","Формула","Подгруппа материалов","Деловой партнер","""Действительно с"" - метка врем. объекта","Метка времени ""Действительно по""","Дата создания","Неактивна","Тип цены","ВалютаДокумента","Материал","client_id","client_name"
"Z900023131","( ( ( ( ( ( ( A + T ) + M ) * ( K + H ) + D + E + G + ( R / CUR_$_₱_M / C ) ) * ( K + B ) ) / ( K + B ) / Q - ( D + E + O + G ) ) * CUR_$_₱_M * NDS ) * S ) + V","MT00000107","53099","2025-02-04 00:00:00","2028-12-31 00:00:00","2025-05-13 00:00:00","","A1","RUB","","CL-10544","Клиент 544"
"Z900023385","( SPOT * D ) - F","MT00000088","167269","2023-09-04 00:00:00","2027-12-31 00:00:00","2025-06-11 00:00:00","","A1","RUB","","CL-10188","Клиент 188"
"Z900023506","C","","328039","2023-11-15 00:00:00","2028-12-31 00:00:00","2025-06-30 00:00:00","","A1","RUB","885093","CL-10449","Клиент 449"
"Z900023508","( STYROL + 220 ) * K * A","","103707","2024-01-01 00:00:00","2026-12-31 00:00:00","2025-06-30 00:00:00","","A1","RUB","210919","CL-10005","Клиент 005"
"Z900023939","( ( ( ( ( ( ( SPOT_CFR_CMP_12 + C ) * O + Y + U + P + Q ) * ( I + E ) ) / ( I + D ) ) - F - ( G / CUR_$_₱_M ) - Q - Y ) / O ) * CUR_$_₱_M ) * NDS","","49300","2025-01-01 00:00:00","2026-12-31 00:00:00","2025-08-18 00:00:00","","A1","RUB","1370836","CL-10535","Клиент 535"
"Z900023940","( ( ( ( ( ( ( CFR_CHINA_05 + C ) * D + Y + U + F + E ) * ( I + M ) ) / ( I + O ) ) - P - ( X / CUR_$_₱_M ) - E - Y ) / D ) * CUR_$_₱_M ) * NDS","","49300","2025-01-01 00:00:00","2026-12-31 00:00:00","2025-08-18 00:00:00","","A1","RUB","1382297","CL-10535","Клиент 535"
"Z900023941","( ( ( ( ( ( ( SPOT_CFR_CHINA_13 + C ) * G + Y + U + P + Q ) * ( I + E ) ) / ( I + D ) ) - W - ( F / CUR_$_₱_M ) - Q - Y ) / G ) * CUR_$_₱_M ) * NDS","","49300","2025-01-01 00:00:00","2026-12-31 00:00:00","2025-08-18 00:00:00","","A1","RUB","1382293","CL-10535","Клиент 535"
"Z900023960","RND_X ( ( SPOT_FOB_CHINA_01 * D + F ) * CD * CUR_$ + T + T1 + T2 , 2 ) * VAT + L","","8494","2021-01-01 00:00:00","2026-12-31 00:00:00","2025-08-21 00:00:00","","A1","RUB","1602311","CL-10599","Клиент 599"
"Z900023997","( MEG + H ) * CUR_$_₱_M * NDS - O","","11760","2025-08-01 00:00:00","2027-12-31 00:00:00","2025-08-27 00:00:00","","A1","RUB","991831","CL-10037","Клиент 037"
"Z900024092","( MEG + H ) * E * T - P","","9841","2025-09-03 00:00:00","2026-12-31 00:00:00","2025-09-08 00:00:00","","A1","RUB","991831","CL-10616","Клиент 616"
"Z900024111","X","","297715","2025-09-01 00:00:00","2026-08-30 00:00:00","2025-09-09 00:00:00","","A1","RUB","1184686","CL-10381","Клиент 381"
"Z900024186","RND_X ( ( ( ( ( CONTR_FD_NWE_16 + P ) * CUR_€ ) + D ) * K ) + S ) * NDS","","140428","2025-03-01 00:00:00","2027-02-28 00:00:00","2025-09-27 00:00:00","","A1","RUB","1050010","CL-10102","Клиент 102"
"Z900024200","RND_X ( ( ( ( ( CONTR_FD_NWE_16 + P ) * CUR_€ ) + D ) * K ) + S ) * NDS","","12783","2025-03-01 00:00:00","2027-02-28 00:00:00","2025-09-27 00:00:00","","A1","RUB","649912","CL-10069","Клиент 069"
"Z900024203","RND_X ( ( ( ( CONTR_FD_NWE_16 + P ) * CUR_€ ) + D ) * K + N ) * NDS","","12783","2025-03-01 00:00:00","2027-02-28 00:00:00","2025-09-27 00:00:00","","A1","RUB","1058698","CL-10069","Клиент 069"
"Z900024398","( ( ( ( ( ( A + W ) * T * ( T + B ) + C + D + E + F + I ) * ( T + H ) - ( ( A + W ) * T * ( T + B ) + C + D + E + F + I ) * ( T + H ) * K ) / ( T + L ) - M - N - O - Q ) * CUR_$_₱_M ) * S ) + Y","","12005","2025-04-01 00:00:00","2028-03-31 00:00:00","2025-10-09 00:00:00","","A1","RUB","1905529","CL-10046","Клиент 046"
"Z900024459","C + T * A","","304803","2025-11-01 00:00:00","2026-12-31 00:00:00","2025-10-15 00:00:00","","A1","RUB","885093","CL-10407","Клиент 407"
"Z900024515","( ( ( ( ( ( ( A * ( ( Z + B ) / Z ) ) + C + D + E + F + M ) * ( ( Z + H ) / Z ) ) - ( ( ( ( A * ( ( Z + B ) / Z ) ) + C + D + E + F + M ) * ( ( Z + H ) / Z ) ) * ( G / Z ) ) - ( ( ( ( A * ( ( Z + B ) / Z ) ) + C + D + E + F + M ) * ( ( Z + H ) / Z ) ) * (","MT00000108","12005","2025-04-01 00:00:00","2028-03-31 00:00:00","2025-10-27 00:00:00","","A1","RUB","","CL-10046","Клиент 046"
"Z900024633","025 * MOS_MZT","","296619","2025-11-01 00:00:00","2026-10-31 00:00:00","2025-11-10 00:00:00","","A1","RUB","1184726","CL-10363","Клиент 363"
"Z900024643","D * ( ( DEL_CHINA_E_04 / K + B ) * K$ ) * A","","17224","2025-01-01 00:00:00","2026-12-31 00:00:00","2025-11-11 00:00:00","","A1","RUB","716979","CL-10204","Клиент 204"
"Z900024715","025 * MOS_MZT","","295667","2025-12-01 00:00:00","2026-11-30 00:00:00","2025-11-27 00:00:00","","A1","RUB","1184726","CL-10352","Клиент 352"
"Z900024716","025 * MOS_MZT","","306841","2025-12-01 00:00:00","2026-11-30 00:00:00","2025-11-27 00:00:00","","A1","RUB","1184726","CL-10409","Клиент 409"
"Z900024717","025 * MOS_MZT","","295667","2025-12-01 00:00:00","2026-11-30 00:00:00","2025-11-27 00:00:00","","A1","RUB","1372179","CL-10352","Клиент 352"
"Z900024718","025 * MOS_MZT","","306841","2025-12-01 00:00:00","2026-11-30 00:00:00","2025-11-27 00:00:00","","A1","RUB","1372179","CL-10409","Клиент 409"
"Z900024769","025 * MOS_MZT","","230710","2025-12-01 00:00:00","2026-11-30 00:00:00","2025-12-03 00:00:00","","A1","RUB","1372179","CL-10246","Клиент 246"
"Z900024794","( MRC + K ) / N + C","","298409","2024-12-01 00:00:00","2026-08-31 00:00:00","2025-12-03 00:00:00","","2","RUB","1264450","CL-10385","Клиент 385"
"Z900024796","( ( ( R1 + R2 + R3 ) * R4 ) * DUTY + ( R5 * R4 ) ) * C","","298409","2024-07-01 00:00:00","2026-12-31 00:00:00","2025-12-03 00:00:00","","2","RUB","1182355","CL-10385","Клиент 385"
"Z900024908","( DEL / X * K * KP + L1 * USD - L2 ) * A2","","296810","2026-01-01 00:00:00","2026-10-31 00:00:00","2025-12-16 00:00:00","","A1","RUB","1185197","CL-10369","Клиент 369"
"Z900024909","( DEL / X * K * KP + L1 * USD - L2 ) * A2 * R","","230224","2026-01-01 00:00:00","2026-08-31 00:00:00","2025-12-16 00:00:00","","A1","RUB","1185197","CL-10244","Клиент 244"
"Z900024910","( DEL / X * K * KP + L1 * USD - L2 ) * A2","","296576","2026-01-01 00:00:00","2026-10-31 00:00:00","2025-12-16 00:00:00","","A1","RUB","1185197","CL-10362","Клиент 362"
"Z900024911","( DEL / A * K * KP + L1 * USD - L2 ) * A2 + W","","21663","2026-01-01 00:00:00","2026-07-31 00:00:00","2025-12-16 00:00:00","","A1","RUB","1185197","CL-10237","Клиент 237"
"Z900024917","( ( ( ( A * C + D + E + H + G ) * ( 1 + I ) ) - ( L + N + O ) ) * T * NDS ) / K","","148914","2026-01-01 00:00:00","2028-12-31 00:00:00","2025-12-17 00:00:00","","A1","RUB","1005995","CL-10128","Клиент 128"
"Z900024937","( DEL / X * K * KP + L1 * USD - L2 ) * A2","","230224","2026-01-01 00:00:00","2026-08-31 00:00:00","2025-12-17 00:00:00","","A1","RUB","1185197","CL-10244","Клиент 244"
"Z900024945","( ( EXW_CHINA_E_12 / ( 1 + A1 ) * K1 + ( 75 + L1 ) * K2 ) * ( 1 + P ) + L2 - L3 ) * A2","","155424","2026-01-01 00:00:00","2026-08-31 00:00:00","2025-12-18 00:00:00","","A1","RUB","213299","CL-10143","Клиент 143"
"Z900024951","( RND_X ( ( SPOT_FOB_CHINA_01 + F ) * AG * CD * CUR_$ + T , 2 ) + T1 ) * PK * VAT","","285736","2021-10-20 00:00:00","2030-12-31 00:00:00","2025-12-20 00:00:00","","A1","RUB","721362","CL-10333","Клиент 333"
"Z900024972","( RND_X ( ( SPOT_FOB_CHINA_01 + F ) * AG * CD * CUR_$ + T , 2 ) + T1 ) * PK * VAT","","57414","2022-11-23 00:00:00","2027-12-31 00:00:00","2025-12-22 00:00:00","","A1","RUB","721362","CL-10554","Клиент 554"
"Z900024973","RND_X ( ( RND_X ( ( SPOT_FOB_CHINA_01 + F ) * AG * CD * CUR_$ + T , 2 ) * PK ) * X + ( ( P / O + 37000 ) * Y ) + T1 , 2 ) * VAT","","57414","2022-11-23 00:00:00","2027-12-31 00:00:00","2025-12-22 00:00:00","","A1","RUB","1602311","CL-10554","Клиент 554"
"Z900024978","RND_X ( ( SPOT_FOB_CHINA_01 + F ) * AG * CD * CUR_$ + T , 2 ) * PK * VAT + T1 * VAT","","319065","2024-11-26 00:00:00","2029-12-31 00:00:00","2025-12-22 00:00:00","","A1","RUB","721362","CL-10436","Клиент 436"
"Z900024979","( RND_X ( ( SPOT_FOB_CHINA_01 + F ) * AG * CD * CUR_$ + T , 2 ) + T1 ) * PK * VAT","","319065","2024-11-26 00:00:00","2029-12-31 00:00:00","2025-12-22 00:00:00","","A1","RUB","407335","CL-10436","Клиент 436"
"Z900024980","RND_X ( ( RND_X ( ( SPOT_FOB_CHINA_01 + F ) * AG * CD * CUR_$ + T , 2 ) * PK ) * X + ( ( P / O + 37000 ) * Y ) + T1 , 2 ) * VAT","","319065","2024-11-26 00:00:00","2029-12-31 00:00:00","2025-12-22 00:00:00","","A1","RUB","1203330","CL-10436","Клиент 436"
"Z900024981","( RND_X ( ( SPOT_FOB_CHINA_01 + F ) * AG * CD * CUR_$ + T , 2 ) + T1 ) * PK * VAT","","262328","2021-10-04 00:00:00","2029-12-31 00:00:00","2025-12-22 00:00:00","","A1","RUB","721362","CL-10277","Клиент 277"
"Z900024982","RND_X ( ( RND_X ( ( SPOT_FOB_CHINA_01 + F ) * AG * CD * CUR_$ + T , 2 ) * PK ) * X + ( ( P / O + 37000 ) * Y ) + T1 , 2 ) * VAT","","262328","2021-10-04 00:00:00","2029-12-31 00:00:00","2025-12-22 00:00:00","","A1","RUB","1203330","CL-10277","Клиент 277"
"Z900024983","( RND_X ( ( SPOT_FOB_CHINA_01 + F ) * AG * CD * CUR_$ + T , 2 ) + T1 ) * PK * VAT","","262328","2021-10-04 00:00:00","2029-12-31 00:00:00","2025-12-22 00:00:00","","A1","RUB","721362","CL-10277","Клиент 277"
"Z900024984","RND_X ( ( RND_X ( ( SPOT_FOB_CHINA_01 + F ) * AG * CD * CUR_$ + T , 2 ) * PK ) * X + ( ( P / O + 37000 ) * Y ) + T1 , 2 ) * VAT","","262328","2021-10-04 00:00:00","2029-12-31 00:00:00","2025-12-22 00:00:00","","A1","RUB","1203330","CL-10277","Клиент 277"
"Z900024985","( RND_X ( ( SPOT_FOB_CHINA_01 + F ) * AG * CD * CUR_$ + T , 2 ) + T1 ) * PK * VAT","","287629","2021-07-26 00:00:00","2028-12-31 00:00:00","2025-12-22 00:00:00","","A1","RUB","407335","CL-10339","Клиент 339"
"Z900024986","RND_X ( ( RND_X ( ( SPOT_FOB_CHINA_01 + F ) * AG * CD * CUR_$ + T , 2 ) * PK ) * X + ( ( P / O + 37000 ) * Y ) + T1 , 2 ) * VAT","","287629","2021-07-26 00:00:00","2028-12-31 00:00:00","2025-12-22 00:00:00","","2","RUB","1602311","CL-10339","Клиент 339"
"Z900024987","( RND_X ( ( SPOT_FOB_CHINA_01 + F ) * AG * CD * CUR_$ + T , 2 ) + T1 ) * PK * VAT","","285736","2021-10-20 00:00:00","2030-12-31 00:00:00","2025-12-22 00:00:00","","A1","RUB","407335","CL-10333","Клиент 333"
"Z900024988","RND_X ( ( RND_X ( ( SPOT_FOB_CHINA_01 + F ) * AG * CD * CUR_$ + T , 2 ) * PK ) * X + ( ( P / O + 37000 ) * Y ) + T1 , 2 ) * VAT","","285736","2021-10-20 00:00:00","2030-12-31 00:00:00","2025-12-22 00:00:00","","A1","RUB","1203330","CL-10333","Клиент 333"
"Z900024989","( RND_X ( ( SPOT_FOB_CHINA_01 + F ) * AG * CD * CUR_$ + T , 2 ) + T1 ) * PK * VAT","","285736","2021-03-17 00:00:00","2026-12-31 00:00:00","2025-12-22 00:00:00","","A1","RUB","721362","CL-10333","Клиент 333"
"Z900024990","RND_X ( ( RND_X ( ( SPOT_FOB_CHINA_01 + F ) * AG * CD * CUR_$ + T , 2 ) * PK ) * X + ( ( P / O + 37000 ) * Y ) + T1 , 2 ) * VAT","","285736","2021-03-17 00:00:00","2026-12-31 00:00:00","2025-12-22 00:00:00","","A1","RUB","1203330","CL-10333","Клиент 333"
"Z900025024","( ( ( ( 0_7 * BDE + 0_3 * STY + PR ) * CUR_€ ) * P ) + N ) * NDS","MT00000036","15981","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-23 00:00:00","","A1","RUB","","CL-10160","Клиент 160"
"Z900025040","( ( ( ( 0_22 * STY + 0_51 * BDE + 0_27 * ( ( VGO + 400 ) / CUR_€_$_ECB ) + PR ) * CUR_€ ) * P ) + N ) * NDS","","15981","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-23 00:00:00","","A1","RUB","1198249","CL-10160","Клиент 160"
"Z900025041","( ( ( ( 0_73 * ( ( BDE * 0_7 ) + ( STY * 0_3 ) ) + 0_27 * ( ( VGO + 400 ) / CUR_$_€_ECB ) + K ) * CUR_€_₱_M ) * P ) + S ) * NDS","","15981","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-23 00:00:00","","A1","RUB","1201325","CL-10160","Клиент 160"
"Z900025042","( ( ( ( BDE * A + C ) * CUR_€_₱_M ) * P ) - K ) * NDS","","15981","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-23 00:00:00","","A1","RUB","1182022","CL-10160","Клиент 160"
"Z900025047","( RND_X ( ( CONTR_FD_NWE_16 + PR ) * CUR_€ , D ) + N ) * NDS","MT00000032","11709","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-23 00:00:00","","2","RUB","","CL-10036","Клиент 036"
"Z900025048","RND_X ( ( RND_X ( ( ( A * CONTR_FD_NWE_16 + B * CONTR_FOB_ARA_01 + PR ) * CUR_€ ) , D ) ) , O ) * NDS","MT00000036","11709","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-23 00:00:00","","2","RUB","","CL-10036","Клиент 036"
"Z900025049","( RND_X ( ( A * ( B * CONTR_FD_NWE_16 + C * CONTR_FOB_ARA_01 ) + D * ( BRG_FOB_RDAM_07 + PR2 ) / CUR_€_$_ECB + PR1 ) * CUR_€ , O ) ) * NDS","","11709","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-23 00:00:00","","2","RUB","1252120","CL-10036","Клиент 036"
"Z900025050","RND_X ( IF ( TSR20 < 1450 , 1450 * CUR_$ , TSR20 * CUR_$ ) + ( 50 * CUR_$ ) ) * NDS","","11709","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-23 00:00:00","","2","RUB","1183048","CL-10036","Клиент 036"
"Z900025073","( ( ( NWE * EUR + ASIA * USD + USA * USD ) / 3 * 83 + D + T ) * 22 )","","2122","2025-06-17 00:00:00","2027-12-31 00:00:00","2025-12-24 00:00:00","","A1","RUB","843862","CL-10235","Клиент 235"
"Z900025083","( ( DISCOUNT * DOP + F ) * IMPORT_TAXES * USD_RATE + L + T ) * TAX - D","MT00050001","233849","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-24 00:00:00","","A1","RUB","","CL-10250","Клиент 250"
"Z900025086","( ( CONTR_FD_NWE_16 + PR ) * CUR_€ ) * NDS","","48904","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-24 00:00:00","","2","RUB","649912","CL-10534","Клиент 534"
"Z900025092","( ( ( 0_3 * STY ) + ( 0_7 * BDE ) + PR ) * CUR_€ ) * NDS","","48904","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-24 00:00:00","","2","RUB","714372","CL-10534","Клиент 534"
"Z900025093","( ( ( B * CONTR_FD_NWE_16 + C * CONTR_FOB_ARA_01 + D * ( BRG_FOB_RDAM_07 + PR2 ) / CUR_€_$_ECB + PR1 ) * CUR_€ ) + N ) * NDS","","48904","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-24 00:00:00","","2","RUB","654912","CL-10534","Клиент 534"
"Z900025094","( ( ( TSR20 + 100 ) * CUR_$ ) - K ) * NDS","","48904","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-24 00:00:00","","A1","RUB","1183048","CL-10534","Клиент 534"
"Z900025096","( ( ( B * CONTR_FD_NWE_16 + C * CONTR_FOB_ARA_01 + D * ( BRG_FOB_RDAM_07 + PR2 ) / CUR_€_$_ECB + PR1 ) * CUR_€ ) - K ) * NDS","","48904","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-24 00:00:00","","2","RUB","1079231","CL-10534","Клиент 534"
"Z900025127","( CONTR_FD_NWE_16 + FEE ) * N * CUR_€ * VAT","MT00000032","37524","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-25 00:00:00","","A1","RUB","","CL-10525","Клиент 525"
"Z900025131","( DEL / A1 * K * KP + L1 * USD ) * A2","","298729","2025-03-01 00:00:00","2026-08-31 00:00:00","2025-12-25 00:00:00","","A1","RUB","1185197","CL-10386","Клиент 386"
"Z900025134","( ( CONTR_FD_NWE_14 * KS + CONTR_DELIVERED_01 * KS2 + SPOTCFR_NEASIA_05 * KS2 ) * ( C / B ) * A + D ) * T","","9211","2025-09-01 00:00:00","2026-07-31 00:00:00","2025-12-25 00:00:00","","A1","RUB","1362152","CL-10609","Клиент 609"
"Z900025139","( ( DOP * K + F ) * I * C + L ) * H","MT00050001","322229","2026-01-01 00:00:00","2027-10-31 00:00:00","2025-12-25 00:00:00","","A1","RUB","","CL-10438","Клиент 438"
"Z900025142","( ( CHINA_03 * USD_RATE * K1 + CONTRACT_FOB_RDAM * EUR_RATE * K2 + K3 * EUR_RATE ) * A ) * B","","15491","2024-05-01 00:00:00","2027-04-30 00:00:00","2025-12-25 00:00:00","","A1","RUB","210919","CL-10141","Клиент 141"
"Z900025145","( K * ( MOSREG92 / T - A ) ) * T1","","15352","2025-10-01 00:00:00","2026-12-31 00:00:00","2025-12-25 00:00:00","","A1","RUB","408965","CL-10137","Клиент 137"
"Z900025146","( ASIA * USD * 83 + D * I ) * 20 + L","","122796","2025-01-01 00:00:00","2026-12-31 00:00:00","2025-12-25 00:00:00","","A1","RUB","843862","CL-10055","Клиент 055"
"Z900025150","C","","2590","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-25 00:00:00","","A1","RUB","885093","CL-10272","Клиент 272"
"Z900025151","( STYRENE_CHINA * USD_RATE + K1 * USD_RATE ) * TAX","","146002","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-25 00:00:00","","A1","RUB","210919","CL-10119","Клиент 119"
"Z900025153","( ( NWE * EUR + ASIA * USD + USA * USD ) / 3 * 83 + D ) * 22","","148213","2025-01-01 00:00:00","2027-12-31 00:00:00","2025-12-25 00:00:00","","1","RUB","843862","CL-10126","Клиент 126"
"Z900025154","( MEG_CFR_CHINA + W ) * K * A","","58109","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-25 00:00:00","","A1","RUB","991831","CL-10556","Клиент 556"
"Z900025201","( ( NWE * EUR + ASIA * USD + USA * USD ) / 3 * 83 + D + T ) * 20","","17224","2024-01-01 00:00:00","2031-12-31 00:00:00","2025-12-25 00:00:00","","A1","RUB","843862","CL-10204","Клиент 204"
"Z900025208","( ( MEG + H ) * E * T ) - A","MT00000053","339835","2024-07-01 00:00:00","2027-12-31 00:00:00","2025-12-25 00:00:00","","A1","RUB","","CL-10479","Клиент 479"
"Z900025209","( ( MEG + H ) * E * T ) - A","MT00000053","339835","2025-06-17 00:00:00","2027-12-31 00:00:00","2025-12-25 00:00:00","","A1","RUB","","CL-10479","Клиент 479"
"Z900025268","( ( DRUM_01 * N + LOG ) * EXR - K ) * VAT","","298013","2026-01-01 00:00:00","2026-06-30 00:00:00","2025-12-25 00:00:00","","A1","RUB","1599543","CL-10383","Клиент 383"
"Z900025282","IF ( ( ( CHINA_03 + K ) * USD_RATE * A ) < SPOT , ( ( ( ( CHINA_03 + K ) * USD_RATE ) * A ) ) , SPOT ) - R","","157232","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-25 00:00:00","","A1","RUB","210919","CL-10149","Клиент 149"
"Z900025296","( MEG + H ) * E * T","","111304","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-25 00:00:00","","A1","RUB","991831","CL-10014","Клиент 014"
"Z900025303","( ( ( SPOT_FOB_CHINA_01 + F ) * AG * CD * K + T - TN ) * PK - TP ) * NDC","","50632","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-26 00:00:00","","A1","RUB","721362","CL-10537","Клиент 537"
"Z900025306","( ( ( ( ( SPOT_FOB_CHINA_01 + F ) * AG * CD * K + T - TN ) * PK - TP ) * NDC ) * X ) + ( ( ( ( FLEX / L + PROC ) * Y ) - TP ) * NDC )","","50632","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-26 00:00:00","","A1","RUB","1203330","CL-10537","Клиент 537"
"Z900025320","( ( MEG + H ) * E * T ) - A","","339835","2024-07-01 00:00:00","2026-12-31 00:00:00","2025-12-26 00:00:00","","A1","RUB","991882","CL-10479","Клиент 479"
"Z900025330","( ( NWE * EUR + ASIA * USD + USA * USD ) / 3 * 83 + D + T ) * 20","","17224","2024-01-01 00:00:00","2031-12-31 00:00:00","2025-12-26 00:00:00","","A1","RUB","843862","CL-10204","Клиент 204"
"Z900025333","( MEG + H ) * E * T + O - A","","10271","2025-11-01 00:00:00","2027-05-31 00:00:00","2025-12-26 00:00:00","","A1","RUB","991831","CL-10003","Клиент 003"
"Z900025334","( MEG + H ) * E * T + O - A - K","","10271","2025-11-01 00:00:00","2027-05-31 00:00:00","2025-12-26 00:00:00","","A1","RUB","991831","CL-10003","Клиент 003"
"Z900025344","( ( NWE * EUR + ASIA * USD + USA * USD ) / 3 * 83 + D + T ) * 20","","17224","2024-01-01 00:00:00","2031-12-31 00:00:00","2025-12-26 00:00:00","","A1","RUB","843862","CL-10204","Клиент 204"
"Z900025347","( DISCOUNT * DOP + L ) * USD_RATE - M","","229413","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-26 00:00:00","","A1","RUB","332941","CL-10242","Клиент 242"
"Z900025348","( DISCOUNT * DOP + L ) * USD_RATE + M","","229413","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-26 00:00:00","","1","RUB","332941","CL-10242","Клиент 242"
"Z900025350","ENIP_RUS_DTL - A","","296874","2026-01-01 00:00:00","2026-06-30 00:00:00","2025-12-26 00:00:00","","1","RUB","1182308","CL-10372","Клиент 372"
"Z900025357","( MEG + H ) * K * A - T","","145320","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-26 00:00:00","","A1","RUB","991831","CL-10118","Клиент 118"
"Z900025360","( ( CFR - L1 ) * KP + L2 ) * K * A","","280604","2026-02-01 00:00:00","2026-12-31 00:00:00","2025-12-26 00:00:00","","A1","RUB","1599543","CL-10323","Клиент 323"
"Z900025365","( MEG + H ) * E * T","","145320","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-26 00:00:00","","A1","RUB","991831","CL-10118","Клиент 118"
"Z900025374","( MEG + H ) * E * T - L","","318957","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-26 00:00:00","","A1","RUB","991831","CL-10433","Клиент 433"
"Z900025387","( ( ( ( ( ( A + W ) * T * ( T + B ) + C + D + E + F + I ) * ( T + H ) - ( ( A + W ) * T * ( T + B ) + C + D + E + F + I ) * ( T + H ) * ( K / Z ) ) / ( T + L ) - M - N - O - Q ) * CUR_$_₱_M ) * S ) + Y","","12005","2025-04-01 00:00:00","2028-03-31 00:00:00","2025-12-26 00:00:00","","A1","RUB","1905529","CL-10046","Клиент 046"
"Z900025398","RND_X ( ( SPOT_FOB_CHINA_01 * D * AG + F ) * CD * CUR_$ + T + T1 , 2 ) * VAT","","84087","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-26 00:00:00","","A1","RUB","721362","CL-10598","Клиент 598"
"Z900025399","RND_X ( RND_X ( ( SPOT_FOB_CHINA_01 * AG * D + F ) * CD * CUR_$ + T , 2 ) * X + ( ( P / O + 40000 ) * Y * D2 ) + T1 , 2 ) * VAT","","84087","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-26 00:00:00","","A1","RUB","1203330","CL-10598","Клиент 598"
"Z900025402","RND_X ( ( SPOT_FOB_CHINA_01 * D * AG + F ) * CD * CUR_$ + T + T1 , 2 ) * VAT","","150673","2018-01-09 00:00:00","2029-12-31 00:00:00","2025-12-26 00:00:00","","A1","RUB","721362","CL-10133","Клиент 133"
"Z900025405","A * B","","302480","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-27 00:00:00","","A1","RUB","1180328","CL-10395","Клиент 395"
"Z900025417","( EXW_09 / ( CUR_$_₱_M / CUR_UAN_₱_M ) + ADDER ) * CUR_$_₱_M * NDS","","303834","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-28 00:00:00","","A1","RUB","1177496","CL-10401","Клиент 401"
"Z900025418","RND_X ( ( SPOT_FOB_CHINA_01 * D * AG + F ) * CD * CUR_$ + T + T1 , 2 ) * VAT","","11770","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-28 00:00:00","","A1","RUB","407335","CL-10039","Клиент 039"
"Z900025419","RND_X ( RND_X ( ( SPOT_FOB_CHINA_01 * AG * D + F ) * CD * CUR_$ + T , 2 ) * X + ( ( P / O + 40000 ) * Y * D2 ) + T1 , 2 ) * VAT","","11770","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-28 00:00:00","","A1","RUB","1203330","CL-10039","Клиент 039"
"Z900025420","F","","289190","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-28 00:00:00","","A1","RUB","1464690","CL-10343","Клиент 343"
"Z900025435","( ( ( ( 0_85 * BDE + 0_15 * STY + PR ) * CUR_€ ) * P ) + N ) * NDS","","15981","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-28 00:00:00","","A1","RUB","1182020","CL-10160","Клиент 160"
"Z900025449","( ( STYRENE_CHINA + K1 ) * USD_RATE * TAX )","","15491","2026-03-01 00:00:00","2027-03-31 00:00:00","2025-12-29 00:00:00","","A1","RUB","210919","CL-10141","Клиент 141"
"Z900025450","( STYRENE_CHINA + K1 ) * USD_RATE","","104845","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-29 00:00:00","","A1","RUB","210919","CL-10009","Клиент 009"
"Z900025452","( STYRENE_CHINA + K1 ) * USD_RATE","","33252","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-29 00:00:00","","A1","RUB","210919","CL-10460","Клиент 460"
"Z900025454","RND_X ( ( ( ( SPOT_FOB_CHINA_01 + F ) * AG * CD * CUR_$ + R - T ) * D ) , 2 ) * VAT","","11253","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-29 00:00:00","","A1","RUB","721362","CL-10021","Клиент 021"
